TITLE	N-GQD_BC
DATA TYPE	INFRARED SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	24/11/25
TIME	19:08:09
SPECTROMETER/DATA SYSTEM	
LOCALE	3082
RESOLUTION	
DELTAX	0,964233
XUNITS	1/CM
YUNITS	TRANSMITTANCE
FIRSTX	  399,1927
LASTX	 4000,6047
NPOINTS	    3736
FIRSTY	    87,00690
MAXY	   100,03275
MINY	    78,27451
XYDATA
688,4627	90,4342
689,4269	90,2986
690,3912	90,15
691,3554	89,9655
692,3196	89,7457
693,2839	89,5045
694,2481	89,2521
695,2123	88,9851
696,1766	88,69
697,1408	88,357
698,1050	87,9917
699,0693	87,6167
700,0335	87,2596
700,9977	86,9382
701,9620	86,6518
702,9262	86,3843
703,8904	86,1162
704,8547	85,8389
705,8189	85,5599
706,7831	85,2984
707,7474	85,0745
708,7116	84,8997
709,6758	84,7744
710,6401	84,6908
711,6043	84,6371
712,5685	84,5988
713,5328	84,5583
714,4970	84,497
715,4612	84,3998
716,4255	84,2619
717,3897	84,0933
718,3539	83,9183
719,3182	83,7694
720,2824	83,6751
721,2466	83,65
722,2109	83,6914
723,1751	83,7854
724,1393	83,9158
725,1036	84,069
726,0678	84,2342
727,0320	84,4008
727,9963	84,5593
728,9605	84,7037
729,9247	84,8358
730,8890	84,9657
731,8532	85,1068
732,8174	85,2687
733,7817	85,4514
734,7459	85,6446
735,7101	85,8337
736,6744	86,0088
737,6386	86,1711
738,6028	86,3347
739,5671	86,5195
740,5313	86,7416
741,4955	87,004
742,4598	87,2939
743,4240	87,5879
744,3882	87,8625
745,3525	88,1042
746,3167	88,3128
747,2809	88,4969
748,2452	88,6659
749,2094	88,8257
750,1736	88,9798
751,1379	89,1363
752,1021	89,3106
753,0663	89,5205
754,0306	89,7727
754,9948	90,0517
755,9590	90,322
756,9233	90,545
757,8875	90,7029
758,8517	90,811
759,8160	90,9111
760,7802	91,0477
761,7444	91,2431
762,7087	91,487
763,6729	91,7457
764,6371	91,9818
765,6014	92,1729
766,5656	92,3168
767,5298	92,426
768,4941	92,5179
769,4583	92,6094
770,4225	92,7174
771,3868	92,8601
772,3510	93,0543
773,3152	93,3093
774,2795	93,6208
775,2437	93,9696
776,2079	94,326
777,1722	94,6589
778,1364	94,9448
779,1006	95,1734
780,0649	95,3475
781,0291	95,4777
781,9933	95,5736
782,9576	95,6364
783,9218	95,6555
784,8860	95,6149
785,8503	95,5045
786,8145	95,3326
787,7787	95,1307
788,7430	94,948
789,7072	94,8366
790,6714	94,8357
791,6357	94,959
792,5999	95,1921
793,5641	95,4973
794,5284	95,8245
795,4926	96,1246
796,4568	96,362
797,4211	96,5242
798,3853	96,6244
799,3495	96,695
800,3138	96,7729
801,2780	96,8821
802,2422	97,0245
803,2065	97,1808
804,1707	97,3236
805,1349	97,4333
806,0992	97,5072
807,0634	97,5583
808,0276	97,6042
808,9919	97,6548
809,9561	97,7069
810,9203	97,7464
811,8846	97,7572
812,8488	97,7282
813,8130	97,6571
814,7773	97,5486
815,7415	97,4124
816,7057	97,262
817,6700	97,1135
818,6342	96,983
819,5984	96,8812
820,5627	96,8081
821,5269	96,7518
822,4911	96,6933
823,4554	96,6169
824,4196	96,5187
825,3839	96,4096
826,3481	96,3092
827,3123	96,236
828,2766	96,1992
829,2408	96,1966
830,2050	96,2196
831,1693	96,259
832,1335	96,3094
833,0977	96,3696
834,0620	96,4405
835,0262	96,5222
835,9904	96,6134
836,9547	96,7114
837,9189	96,8124
838,8831	96,9104
839,8474	96,9983
840,8116	97,0684
841,7758	97,1151
842,7401	97,1369
843,7043	97,1363
844,6685	97,1176
845,6328	97,0853
846,5970	97,0446
847,5612	97,0022
848,5255	96,9668
849,4897	96,9467
850,4539	96,9448
851,4182	96,9545
