TITLE	N-GQD_CA
DATA TYPE	INFRARED SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	24/11/25
TIME	19:22:01
SPECTROMETER/DATA SYSTEM	
LOCALE	3082
RESOLUTION	
DELTAX	0,964233
XUNITS	1/CM
YUNITS	TRANSMITTANCE
FIRSTX	  399,1927
LASTX	 4000,6047
NPOINTS	    3736
FIRSTY	    79,59370
MAXY	    99,73621
MINY	    42,39575
XYDATA
688,4627	84,1023
689,4269	84,2358
690,3912	84,4054
691,3554	84,593
692,3196	84,7819
693,2839	84,9586
694,2481	85,1109
695,2123	85,2267
696,1766	85,2975
697,1408	85,3246
698,1050	85,3242
699,0693	85,3236
700,0335	85,3491
700,9977	85,4105
701,9620	85,4933
702,9262	85,5639
703,8904	85,5891
704,8547	85,5557
705,8189	85,4786
706,7831	85,3889
707,7474	85,3126
708,7116	85,2574
709,6758	85,2174
710,6401	85,1886
711,6043	85,1768
712,5685	85,1855
713,5328	85,1932
714,4970	85,1428
715,4612	84,9635
716,4255	84,6158
717,3897	84,1333
718,3539	83,6289
719,3182	83,2514
720,2824	83,1083
721,2466	83,2025
722,2109	83,4356
723,1751	83,6729
724,1393	83,8187
725,1036	83,8494
726,0678	83,8002
727,0320	83,7257
727,9963	83,6651
728,9605	83,6282
729,9247	83,6054
730,8890	83,5839
731,8532	83,5574
732,8174	83,5238
733,7817	83,4794
734,7459	83,4162
735,7101	83,3268
736,6744	83,211
737,6386	83,0785
738,6028	82,9458
739,5671	82,8304
740,5313	82,7439
741,4955	82,689
742,4598	82,6583
743,4240	82,6375
744,3882	82,6108
745,3525	82,5676
746,3167	82,5072
747,2809	82,4393
748,2452	82,3782
749,2094	82,3335
750,1736	82,3034
751,1379	82,2719
752,1021	82,2147
753,0663	82,1095
754,0306	81,947
754,9948	81,7379
755,9590	81,5117
756,9233	81,3072
757,8875	81,158
758,8517	81,0793
759,8160	81,0618
760,7802	81,0762
761,7444	81,0863
762,7087	81,0632
763,6729	80,9958
764,6371	80,8907
765,6014	80,7642
766,5656	80,6307
767,5298	80,4965
768,4941	80,3601
769,4583	80,2191
770,4225	80,0758
771,3868	79,9377
772,3510	79,8112
773,3152	79,6948
774,2795	79,5755
775,2437	79,4337
776,2079	79,254
777,1722	79,0353
778,1364	78,7935
779,1006	78,5556
780,0649	78,3458
781,0291	78,1735
781,9933	78,0284
782,9576	77,885
783,9218	77,7152
784,8860	77,5004
785,8503	77,2397
786,8145	76,9489
787,7787	76,6539
788,7430	76,3808
789,7072	76,1478
790,6714	75,9604
791,6357	75,8109
792,5999	75,6812
793,5641	75,5495
794,5284	75,3969
795,4926	75,2138
796,4568	75,0029
797,4211	74,777
798,3853	74,5533
799,3495	74,3464
800,3138	74,1625
801,2780	73,9971
802,2422	73,8365
803,2065	73,6626
804,1707	73,4597
805,1349	73,2223
806,0992	72,9588
807,0634	72,6907
808,0276	72,4442
808,9919	72,2392
809,9561	72,08
810,9203	71,9529
811,8846	71,8323
812,8488	71,6916
813,8130	71,5133
814,7773	71,2945
815,7415	71,0448
816,7057	70,7808
817,6700	70,5187
818,6342	70,2695
819,5984	70,0376
820,5627	69,8215
821,5269	69,6169
822,4911	69,4185
823,4554	69,221
824,4196	69,0192
825,3839	68,8093
826,3481	68,5911
827,3123	68,3699
828,2766	68,1565
829,2408	67,962
830,2050	67,791
831,1693	67,6372
832,1335	67,4855
833,0977	67,3205
834,0620	67,1354
835,0262	66,9367
835,9904	66,739
836,9547	66,5556
837,9189	66,3897
838,8831	66,2339
839,8474	66,0752
840,8116	65,9018
841,7758	65,7075
842,7401	65,4905
843,7043	65,2514
844,6685	64,9931
845,6328	64,7224
846,5970	64,4505
847,5612	64,1899
848,5255	63,9477
849,4897	63,7205
850,4539	63,4949
851,4182	63,2546
852,3824	62,9899
853,3466	62,7031
854,3109	62,4047
855,2751	62,1046
856,2393	61,8022
857,2036	61,4849
858,1678	61,135
859,1320	60,7427
860,0963	60,3144
861,0605	59,8721
862,0247	59,4424
862,9890	59,0426
863,9532	58,6732
864,9174	58,3215
865,8817	57,9747
866,8459	57,6309
867,8101	57,3022
868,7744	57,005
869,7386	56,7462
870,7028	56,5146
871,6671	56,285
872,6313	56,033
873,5955	55,7515
874,5598	55,4575
875,5240	55,1855
876,4882	54,9722
877,4525	54,8416
878,4167	54,7995
879,3809	54,8378
880,3452	54,9427
881,3094	55,1008
882,2736	55,2992
883,2379	55,522
884,2021	55,7494
885,1663	55,9594
886,1306	56,1344
887,0948	56,2654
888,0590	56,3527
889,0233	56,4012
889,9875	56,4156
890,9517	56,3965
891,9160	56,3397
892,8802	56,2386
893,8444	56,0866
894,8087	55,8799
895,7729	55,6203
896,7371	55,3163
897,7014	54,9822
898,6656	54,6334
899,6298	54,281
900,5941	53,9272
901,5583	53,5664
902,5225	53,19
903,4868	52,7926
904,4510	52,3744
905,4152	51,9376
906,3795	51,4825
907,3437	51,0044
908,3079	50,497
909,2722	49,9585
910,2364	49,3961
911,2006	48,8248
912,1649	48,2614
913,1291	47,7172
914,0933	47,1955
915,0576	46,6933
916,0218	46,2067
916,9860	45,7356
917,9503	45,284
918,9145	44,858
919,8787	44,4619
920,8430	44,0967
921,8072	43,7602
922,7714	43,4501
923,7357	43,167
924,6999	42,9169
925,6641	42,7096
926,6284	42,5545
927,5926	42,4557
928,5568	42,4075
929,5211	42,3957
930,4853	42,4036
931,4495	42,4203
932,4138	42,4465
933,3780	42,4947
934,3422	42,5826
935,3065	42,7235
936,2707	42,9202
937,2349	43,1645
938,1992	43,4424
939,1634	43,7421
940,1276	44,0594
941,0919	44,3974
942,0561	44,7612
943,0203	45,1515
943,9846	45,5611
944,9488	45,9782
945,9130	46,3925
946,8773	46,8025
947,8415	47,2165
948,8057	47,6489
949,7700	48,1123
950,7342	48,6116
951,6984	49,143
952,6627	49,6981
953,6269	50,2687
954,5911	50,8503
955,5554	51,4411
956,5196	52,0394
957,4838	52,642
958,4481	53,2449
959,4123	53,845
960,3765	54,4417
961,3408	55,0364
962,3050	55,6311
963,2692	56,2262
964,2335	56,8197
965,1977	57,4061
966,1619	57,9782
967,1262	58,5273
968,0904	59,0462
969,0546	59,5317
970,0189	59,9858
970,9831	60,4151
971,9473	60,8276
972,9116	61,229
973,8758	61,6208
974,8400	62,0012
975,8043	62,3671
976,7685	62,7158
977,7327	63,0444
978,6970	63,3482
979,6612	63,6204
980,6254	63,8544
981,5897	64,0478
982,5539	64,2039
983,5181	64,3293
984,4824	64,4296
985,4466	64,5043
986,4108	64,5482
987,3751	64,555
988,3393	64,5226
989,3035	64,4543
990,2678	64,3565
991,2320	64,2348
992,1962	64,0922
993,1605	63,9317
994,1247	63,7585
995,0889	63,58
996,0532	63,4017
997,0174	63,2229
997,9816	63,0357
998,9459	62,829
999,9101	62,596
1000,8743	62,338
1001,8386	62,0638
1002,8028	61,7844
1003,7670	61,5078
1004,7313	61,2371
1005,6955	60,9713
1006,6597	60,7077
1007,6240	60,4422
1008,5882	60,1695
1009,5524	59,8847
1010,5167	59,5861
1011,4809	59,2789
1012,4451	58,9749
1013,4094	58,6884
1014,3736	58,4295
1015,3378	58,1991
1016,3021	57,9894
1017,2663	57,7898
1018,2305	57,5928
1019,1948	57,3981
1020,1590	57,2115
1021,1232	57,0402
1022,0875	56,8887
1023,0517	56,7564
1024,0160	56,6382
1024,9802	56,5273
1025,9445	56,4172
1026,9087	56,3027
1027,8729	56,1795
1028,8372	56,0425
1029,8014	55,8853
1030,7656	55,7015
1031,7299	55,4867
1032,6941	55,2413
1033,6583	54,9719
1034,6226	54,6908
1035,5868	54,4126
1036,5510	54,1509
1037,5153	53,9151
1038,4795	53,71
1039,4437	53,5354
1040,4080	53,3892
1041,3722	53,2691
1042,3364	53,1761
1043,3007	53,1153
1044,2649	53,0963
1045,2291	53,1304
1046,1934	53,2265
1047,1576	53,3883
1048,1218	53,613
1049,0861	53,8927
1050,0503	54,2168
1051,0145	54,574
1051,9788	54,9527
1052,9430	55,3414
1053,9072	55,7293
1054,8715	56,1075
1055,8357	56,4706
1056,7999	56,8166
1057,7642	57,145
1058,7284	57,4547
1059,6926	57,7417
1060,6569	58,0008
1061,6211	58,2285
1062,5853	58,4272
1063,5496	58,6081
1064,5138	58,7888
1065,4780	58,988
1066,4423	59,2185
1067,4065	59,4828
1068,3707	59,7739
1069,3350	60,0797
1070,2992	60,3896
1071,2634	60,6986
1072,2277	61,0076
1073,1919	61,3207
1074,1561	61,6431
1075,1204	61,9787
1076,0846	62,3306
1077,0488	62,7009
1078,0131	63,0905
1078,9773	63,4988
1079,9415	63,9241
1080,9058	64,3644
1081,8700	64,8183
1082,8342	65,2849
1083,7985	65,7624
1084,7627	66,2472
1085,7269	66,735
1086,6912	67,2241
1087,6554	67,718
1088,6196	68,2235
1089,5839	68,7458
1090,5481	69,2819
1091,5123	69,8182
1092,4766	70,3359
1093,4408	70,8198
1094,4050	71,2653
1095,3693	71,6775
1096,3335	72,0634
1097,2977	72,4219
1098,2620	72,7411
1099,2262	73,0037
1100,1904	73,1983
1101,1547	73,3272
1102,1189	73,4049
1103,0831	73,449
1104,0474	73,4696
1105,0116	73,4651
1105,9758	73,4261
1106,9401	73,3438
1107,9043	73,2158
1108,8685	73,0469
1109,8328	72,8438
1110,7970	72,6103
1111,7612	72,3461
1112,7255	72,0493
1113,6897	71,7219
1114,6539	71,3716
1115,6182	71,0108
1116,5824	70,6518
1117,5466	70,3021
1118,5109	69,962
1119,4751	69,6271
1120,4393	69,2924
1121,4036	68,9574
1122,3678	68,6282
1123,3320	68,3152
1124,2963	68,029
1125,2605	67,7749
1126,2247	67,5509
1127,1890	67,3491
1128,1532	67,1596
1129,1174	66,9757
1130,0817	66,7974
1131,0459	66,6316
1132,0101	66,4895
1132,9744	66,3825
1133,9386	66,3172
1134,9028	66,2937
1135,8671	66,3068
1136,8313	66,3494
1137,7955	66,4166
1138,7598	66,5072
1139,7240	66,6223
