Fichero De Datos De SpectraSuite
++++++++++++++++++++++++++++++++++++
Fecha: Fri Oct 04 14:22:23 CEST 2024
Usuario: users
Presente Oscuro Del Espectro: Sí
La Referencia de Presente Del Espectro De: No
Muestreados de los componentes de Número de espectros: 1
Espectrómetros: QEB0653
Tiempo de integración (usec): 5000000 (QEB0653)
Promedio de Espectros Hechos un: 1 (QEB0653)
El Alisar Del Furgón: 0 (QEB0653)
Párrafo de de Corregir del la del del de Eléctrica del obscuridad: No (QEB0653)
Estrobo/Lámpara Permitido: No (QEB0653)
Correct for Detector Non-linearity: No (QEB0653)
Párrafo de de Corregir del la del del de Externa del luz: No (QEB0653)
Procesado del espectro de Número de pixeles en: 1044
>>>>> Comienza Data<<<<< Espectral Procesado Del EL
485,89	229,00
486,67	224,00
487,45	239,00
488,23	211,00
489,01	205,00
489,79	235,00
490,57	242,00
491,35	207,00
492,13	213,00
492,91	224,00
493,69	208,00
494,47	206,00
495,24	235,00
496,02	228,00
496,80	213,00
497,58	204,00
498,36	186,00
499,14	197,00
499,92	204,00
500,69	204,00
501,47	201,00
502,25	174,00
503,03	195,00
503,81	166,00
504,58	184,00
505,36	205,00
506,14	205,00
506,92	171,00
507,69	175,00
508,47	171,00
509,25	149,00
510,03	145,00
510,80	181,00
511,58	156,00
512,36	161,00
513,14	184,00
513,91	147,00
514,69	147,00
515,47	165,00
516,24	134,00
517,02	145,00
517,80	156,00
518,57	155,00
519,35	161,00
520,13	142,00
520,90	163,00
521,68	154,00
522,45	158,00
523,23	132,00
524,01	124,00
524,78	125,00
525,56	140,00
526,33	142,00
527,11	113,00
527,88	96,00
528,66	124,00
529,44	124,00
530,21	107,00
530,99	134,00
531,76	125,00
532,54	108,00
533,31	111,00
534,09	110,00
534,86	114,00
535,64	134,00
536,41	133,00
537,18	125,00
537,96	135,00
538,73	90,00
539,51	121,00
540,28	95,00
541,06	109,00
541,83	101,00
542,60	103,00
543,38	89,00
544,15	112,00
544,93	105,00
545,70	95,00
546,47	97,00
547,25	109,00
548,02	72,00
548,79	105,00
549,57	94,00
550,34	99,00
551,11	90,00
551,89	92,00
552,66	65,00
553,43	78,00
554,21	68,00
